#,Benchmark,Question_ID,Step
7,swe_bench_pro,instance_ansible__ansible-185d41__5d9cizL,80
10,swe_bench_pro,instance_ansible__ansible-a20a52__TQhZ9kF,138
11,swe_bench_pro,instance_ansible__ansible-cd473d__MTyzaqb,164
14,swe_bench_pro,instance_element-hq__element-web__pJFwUrW,96
19,swe_bench_pro,instance_flipt-io__flipt-84806a1__UokZAAN,335
25,swe_bench_pro,instance_flipt-io__flipt-f36bd61__uubnMj9,229
39,terminal_bench_2,cancel-async-tasks__MQyPZ6x,46
43,terminal_bench_2,install-windows-3.11__CPQ7Pvi,546
55,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0213__run_0001,226
74,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0539__run_0001,182
80,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_test__0211__run_0001,298
88,vitabench,vitabench__minimax_m2_5__cross_domain_autogen_magentic_one_20260415_rerun__10805002__rerun20260415__run_0001,32
98,webarena_verified,webarena_verified__minimax_m2_5__shopping_full_20260317_182910__331__run_0001,63
