#,Benchmark,Question_ID,Step
1,swe_bench_pro,instance_NodeBB__NodeBB-087e6020__9FidFWH,562
14,swe_bench_pro,instance_element-hq__element-web__pJFwUrW,96
18,swe_bench_pro,instance_flipt-io__flipt-5af0757__mw2aopo,150
25,swe_bench_pro,instance_flipt-io__flipt-f36bd61__uubnMj9,229
32,swe_bench_pro,instance_navidrome__navidrome-fa__2s8zvGW,324
54,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0204__run_0001,123
56,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0582__run_0001,210
63,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0999__run_0001,176
80,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_test__0211__run_0001,298
82,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_test__0227__run_0001,247
85,vitabench,vitabench__kimi_k2_5__single_domain_seq_20260407_delivery__E0721001__run_0001,46
96,webarena_verified,webarena_verified__minimax_m2_5__shopping_full_20260317_182910__285__run_0001,63
