#,Benchmark,Question_ID,Step
3,swe_bench_pro,instance_NodeBB__NodeBB-9c576a07__toJzMiS,170
9,swe_bench_pro,instance_ansible__ansible-935528__pZB66gb,280
35,swe_bench_pro,instance_qutebrowser__qutebrowse__WD52dQc,164
37,swe_bench_pro,instance_qutebrowser__qutebrowse__j6KAya4,425
45,terminal_bench_2,mteb-retrieve__9bUex6p,137
55,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0213__run_0001,226
63,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0999__run_0001,176
73,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0521__run_0001,109
77,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0966__run_0001,143
82,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_test__0227__run_0001,247
83,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_test__0384__run_0001,513
86,vitabench,vitabench__kimi_k2_5__single_domain_seq_20260407_ota__10812009__run_0001,58
