#,Benchmark,Question_ID,Step
12,swe_bench_pro,instance_element-hq__element-web__Hyn4pMk,355
15,swe_bench_pro,instance_flipt-io__flipt-0fd09de__FarXvpz,189
17,swe_bench_pro,instance_flipt-io__flipt-518ec32__LVjqbhr,142
21,swe_bench_pro,instance_flipt-io__flipt-9f8127f__qMTQUXh,355
27,swe_bench_pro,instance_gravitational__teleport__YREvTcP,92
29,swe_bench_pro,instance_internetarchive__openli__LK9zdSF,318
41,terminal_bench_2,dna-insert__KfukoWo,131
49,terminal_bench_2,reshard-c4-data__DyStrdT,219
67,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0162__run_0001,143
75,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0910__run_0001,231
84,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_validation__0057__run_0001,94
100,webarena_verified,webarena_verified__minimax_m2_5__shopping_full_20260317_182910__657__run_0001,63
