#,Benchmark,Question_ID,Step
5,swe_bench_pro,instance_ansible__ansible-0fd887__2BcuJxy,417
6,swe_bench_pro,instance_ansible__ansible-11c177__7EWxoo8,125
16,swe_bench_pro,instance_flipt-io__flipt-3d5a345__NvDwLww,204
17,swe_bench_pro,instance_flipt-io__flipt-518ec32__LVjqbhr,142
20,swe_bench_pro,instance_flipt-io__flipt-8bd3604__4XKNrrJ,299
58,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0613__run_0001,251
60,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0665__run_0001,175
65,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0047__run_0001,87
71,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0341__run_0001,238
72,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0469__run_0001,126
83,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_test__0384__run_0001,513
92,vitabench,vitabench__qwen3_5_plus__single_domain_seq_20260407_ota__D0808011__run_0001,58
