#,Benchmark,Question_ID,Step
2,swe_bench_pro,instance_NodeBB__NodeBB-84dfda59__8LoGnFF,172
12,swe_bench_pro,instance_element-hq__element-web__Hyn4pMk,355
16,swe_bench_pro,instance_flipt-io__flipt-3d5a345__NvDwLww,204
17,swe_bench_pro,instance_flipt-io__flipt-518ec32__LVjqbhr,142
20,swe_bench_pro,instance_flipt-io__flipt-8bd3604__4XKNrrJ,299
40,terminal_bench_2,custom-memory-heap-crash__uJKgiCb,404
67,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0162__run_0001,143
70,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0248__run_0001,185
71,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0341__run_0001,238
73,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0521__run_0001,109
77,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0966__run_0001,143
91,vitabench,vitabench__qwen3_5_plus__single_domain_seq_20260407_ota__70811004__run_0001,46
