#,Benchmark,Question_ID,Step
3,swe_bench_pro,instance_NodeBB__NodeBB-9c576a07__toJzMiS,170
6,swe_bench_pro,instance_ansible__ansible-11c177__7EWxoo8,125
7,swe_bench_pro,instance_ansible__ansible-185d41__5d9cizL,80
28,swe_bench_pro,instance_internetarchive__openli__KYDPMcD,262
47,terminal_bench_2,raman-fitting__dAF3ZnG,208
48,terminal_bench_2,regex-chess__TUrqwFZ,450
53,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0177__run_0001,140
57,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0607__run_0001,220
62,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0898__run_0001,232
72,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0469__run_0001,126
83,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_test__0384__run_0001,513
86,vitabench,vitabench__kimi_k2_5__single_domain_seq_20260407_ota__10812009__run_0001,58
