#,Benchmark,Question_ID,Step
2,swe_bench_pro,instance_NodeBB__NodeBB-84dfda59__8LoGnFF,172
13,swe_bench_pro,instance_element-hq__element-web__ovpr6uE,294
22,swe_bench_pro,instance_flipt-io__flipt-a42d38a__4zzWz2y,126
31,swe_bench_pro,instance_navidrome__navidrome-81__rUbd73E,357
40,terminal_bench_2,custom-memory-heap-crash__uJKgiCb,404
57,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0607__run_0001,220
60,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0665__run_0001,175
64,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_train__0019__run_0001,68
71,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0341__run_0001,238
72,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0469__run_0001,126
80,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_test__0211__run_0001,298
91,vitabench,vitabench__qwen3_5_plus__single_domain_seq_20260407_ota__70811004__run_0001,46
97,webarena_verified,webarena_verified__minimax_m2_5__shopping_full_20260317_182910__329__run_0001,63
