#,Benchmark,Question_ID,Step
8,swe_bench_pro,instance_ansible__ansible-83909b__6zbsVW4,284
15,swe_bench_pro,instance_flipt-io__flipt-0fd09de__FarXvpz,189
18,swe_bench_pro,instance_flipt-io__flipt-5af0757__mw2aopo,150
21,swe_bench_pro,instance_flipt-io__flipt-9f8127f__qMTQUXh,355
31,swe_bench_pro,instance_navidrome__navidrome-81__rUbd73E,357
45,terminal_bench_2,mteb-retrieve__9bUex6p,137
47,terminal_bench_2,raman-fitting__dAF3ZnG,208
53,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0177__run_0001,140
65,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0047__run_0001,87
69,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0185__run_0001,245
79,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_validation__0135__run_0001,174
92,vitabench,vitabench__qwen3_5_plus__single_domain_seq_20260407_ota__D0808011__run_0001,58
