#,Benchmark,Question_ID,Step
4,swe_bench_pro,instance_NodeBB__NodeBB-a5afad27__ZzNqJNN,210
19,swe_bench_pro,instance_flipt-io__flipt-84806a1__UokZAAN,335
34,swe_bench_pro,instance_qutebrowser__qutebrowse__EDv7RGa,196
43,terminal_bench_2,install-windows-3.11__CPQ7Pvi,546
45,terminal_bench_2,mteb-retrieve__9bUex6p,137
52,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0167__run_0001,157
54,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0204__run_0001,123
58,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0613__run_0001,251
62,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0898__run_0001,232
70,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0248__run_0001,185
88,vitabench,vitabench__minimax_m2_5__cross_domain_autogen_magentic_one_20260415_rerun__10805002__rerun20260415__run_0001,32
89,vitabench,vitabench__minimax_m2_5__single_domain_seq_20260407_ota__D0807004__run_0001,70
99,webarena_verified,webarena_verified__minimax_m2_5__shopping_full_20260317_182910__532__run_0001,63
