#,Benchmark,Question_ID,Step
9,swe_bench_pro,instance_ansible__ansible-935528__pZB66gb,280
26,swe_bench_pro,instance_future-architect__vuls__u2Cccda,178
30,swe_bench_pro,instance_internetarchive__openli__nLsXevh,325
39,terminal_bench_2,cancel-async-tasks__MQyPZ6x,46
42,terminal_bench_2,git-leak-recovery__H5VeeCk,206
44,terminal_bench_2,kv-store-grpc__n8Lracn,140
48,terminal_bench_2,regex-chess__TUrqwFZ,450
51,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0044__run_0001,131
75,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0910__run_0001,231
76,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0928__run_0001,165
81,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_test__0226__run_0001,192
87,vitabench,vitabench__minimax_m2_5__cross_domain_autogen_magentic_one_20260401__A0807010__run_0001,27
98,webarena_verified,webarena_verified__minimax_m2_5__shopping_full_20260317_182910__331__run_0001,63
