#,Benchmark,Question_ID,Step
4,swe_bench_pro,instance_NodeBB__NodeBB-a5afad27__ZzNqJNN,210
23,swe_bench_pro,instance_flipt-io__flipt-b68b896__qNeWkgQ,355
26,swe_bench_pro,instance_future-architect__vuls__u2Cccda,178
28,swe_bench_pro,instance_internetarchive__openli__KYDPMcD,262
36,swe_bench_pro,instance_qutebrowser__qutebrowse__ZmDWPbF,158
37,swe_bench_pro,instance_qutebrowser__qutebrowse__j6KAya4,425
54,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0204__run_0001,123
59,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0624__run_0001,220
76,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0928__run_0001,165
81,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_test__0226__run_0001,192
84,travelplanner,travelplanner__qwen3_5_plus__magentic_one_groupchat_validation__0057__run_0001,94
86,vitabench,vitabench__kimi_k2_5__single_domain_seq_20260407_ota__10812009__run_0001,58
