#,Benchmark,Question_ID,Step
5,swe_bench_pro,instance_ansible__ansible-0fd887__2BcuJxy,417
8,swe_bench_pro,instance_ansible__ansible-83909b__6zbsVW4,284
11,swe_bench_pro,instance_ansible__ansible-cd473d__MTyzaqb,164
23,swe_bench_pro,instance_flipt-io__flipt-b68b896__qNeWkgQ,355
42,terminal_bench_2,git-leak-recovery__H5VeeCk,206
51,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0044__run_0001,131
57,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0607__run_0001,220
60,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0665__run_0001,175
63,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0999__run_0001,176
69,travelplanner,travelplanner__minimax_m2_5__magentic_one_groupchat_test__0185__run_0001,245
87,vitabench,vitabench__minimax_m2_5__cross_domain_autogen_magentic_one_20260401__A0807010__run_0001,27
89,vitabench,vitabench__minimax_m2_5__single_domain_seq_20260407_ota__D0807004__run_0001,70
97,webarena_verified,webarena_verified__minimax_m2_5__shopping_full_20260317_182910__329__run_0001,63
