#,Benchmark,Question_ID,Step
12,swe_bench_pro,instance_element-hq__element-web__Hyn4pMk,355
21,swe_bench_pro,instance_flipt-io__flipt-9f8127f__qMTQUXh,355
22,swe_bench_pro,instance_flipt-io__flipt-a42d38a__4zzWz2y,126
24,swe_bench_pro,instance_flipt-io__flipt-ee02b16__F4ZyVJ5,180
29,swe_bench_pro,instance_internetarchive__openli__LK9zdSF,318
38,swe_bench_pro,instance_tutao__tutanota-de49d48__CSNpGGJ,162
49,terminal_bench_2,reshard-c4-data__DyStrdT,219
52,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0167__run_0001,157
53,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0177__run_0001,140
59,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_test__0624__run_0001,220
64,travelplanner,travelplanner__kimi_k2_5__magentic_one_groupchat_train__0019__run_0001,68
87,vitabench,vitabench__minimax_m2_5__cross_domain_autogen_magentic_one_20260401__A0807010__run_0001,27
98,webarena_verified,webarena_verified__minimax_m2_5__shopping_full_20260317_182910__331__run_0001,63
